Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-10-03,283.35,288.9,280.1,282.3,282.4,183991.0,523.63
2017-09-29,282.0,289.85,278.45,283.8,282.65,312932.0,889.64
2017-09-28,284.9,286.0,278.15,281.0,281.1,236967.0,668.99
2017-09-27,292.1,294.9,279.35,283.0,283.65,284815.0,818.0
2017-09-26,281.95,294.95,276.2,290.0,290.8,411662.0,1182.52
2017-09-25,291.0,291.7,267.05,280.45,280.6,425170.0,1174.31
2017-09-22,301.0,301.0,285.8,291.65,290.7,326614.0,960.46
2017-09-21,308.75,310.5,296.05,302.5,302.65,353820.0,1075.15
2017-09-20,311.5,315.45,304.1,307.6,307.8,543059.0,1691.26
2017-09-19,312.75,317.0,308.65,310.0,309.95,467070.0,1460.03
2017-09-18,314.95,317.95,310.55,311.7,311.55,479748.0,1505.5
2017-09-15,305.1,319.55,302.4,310.95,313.15,1280338.0,4004.73
2017-09-14,306.0,311.35,305.0,307.0,307.5,422117.0,1299.58
2017-09-13,307.0,313.0,302.2,305.95,304.6,444745.0,1368.38
2017-09-12,313.0,314.0,304.4,307.0,307.75,463384.0,1435.31
2017-09-11,313.2,317.9,310.5,310.95,311.4,744001.0,2335.82
2017-09-08,313.1,321.85,309.0,310.05,310.9,1408340.0,4453.68
2017-09-07,311.75,318.7,310.5,312.0,311.5,1027565.0,3224.64
2017-09-06,309.0,317.6,308.25,310.0,310.5,874794.0,2733.46
2017-09-05,311.8,318.7,310.1,311.2,311.9,1052223.0,3301.5
2017-09-04,314.5,322.45,308.0,308.3,310.4,1656007.0,5202.5
2017-09-01,316.85,318.9,307.0,312.55,311.75,1295106.0,4061.31
2017-08-31,307.95,326.4,302.55,315.5,316.45,2936471.0,9333.13
2017-08-30,305.0,310.9,302.0,306.35,308.0,1251367.0,3841.39
2017-08-29,297.7,310.9,293.15,300.9,301.9,3013746.0,9160.64
2017-08-28,314.7,316.0,299.1,301.5,302.4,2858254.0,8735.21
2017-08-24,277.0,319.8,276.4,310.9,313.2,11152784.0,33519.2
2017-08-23,262.0,279.25,260.2,275.0,276.5,5876997.0,15874.54
2017-08-22,230.9,260.9,230.9,259.35,256.3,5941108.0,14740.58
2017-08-21,232.0,238.7,225.0,229.0,228.45,1503303.0,3507.96
2017-08-18,218.7,231.3,218.55,227.4,229.3,1043026.0,2349.24
2017-08-17,221.0,229.8,217.0,220.0,220.0,719054.0,1611.48
2017-08-16,212.0,222.7,207.0,217.9,218.9,583319.0,1270.78
2017-08-14,210.0,216.5,209.95,211.0,211.05,269358.0,573.16
2017-08-11,200.4,207.5,195.0,207.0,205.5,297968.0,604.6
2017-08-10,218.2,219.0,201.75,204.25,204.2,320366.0,673.95
2017-08-09,211.05,224.7,207.35,217.25,219.5,973539.0,2139.62
2017-08-08,217.0,218.0,211.35,213.0,213.25,345247.0,739.01
2017-08-07,204.9,217.3,204.9,216.9,215.5,652089.0,1383.62
2017-08-04,202.7,205.95,197.65,205.5,204.05,280013.0,567.09
2017-08-03,206.95,208.25,200.5,203.75,202.05,173043.0,353.7
2017-08-02,209.8,210.9,205.0,205.05,205.75,326930.0,679.68
2017-08-01,209.5,214.65,201.25,210.0,209.55,708397.0,1491.59
2017-07-31,205.95,218.85,205.95,213.85,214.45,1382427.0,2933.14
2017-07-28,197.5,207.4,197.5,204.0,204.25,707509.0,1436.62
2017-07-27,201.8,202.85,195.1,196.5,196.9,360016.0,715.07
2017-07-26,200.75,203.65,199.3,200.95,200.35,172855.0,347.51
